symbol,amount,invested,current_value,pnl,pnl_pct
ETH,132.50407006875488,0.0,384904.8555471644,384904.86,0.0
TUSD,0.0001,0.0,0.0,0.0,0.0
CULT,1491074.6137464405,0.0,0.0,0.0,0.0
USUALX,3969.66203314,0.0,0.0,0.0,0.0
SPELL,390379.25418119086,0.0,0.0,0.0,0.0
RUSD,1.65644214836e-07,0.0,0.0,0.0,0.0
UGE,126717.87475833096,0.0,0.0,0.0,0.0
DAS,1.0,0.0,0.0,0.0,0.0
UNKNOWN,6.37520000000001e+20,0.0,0.0,0.0,0.0
CSS,1.0,0.0,0.0,0.0,0.0
STARS,2.0,0.0,0.0,0.0,0.0
ERIS,7733.321225867136,0.0,0.0,0.0,0.0
SFF,1377.8999999999999,0.0,0.0,0.0,0.0
PORTAL,7016.012679216257,0.0,0.0,0.0,0.0
XERO,1.0,0.0,0.0,0.0,0.0
GONE,1.0,0.0,0.0,0.0,0.0
XMOVE,2.0,0.0,0.0,0.0,0.0
MET,151.29634651943525,0.0,0.0,0.0,0.0
FXS,37.97724141580289,0.0,0.0,0.0,0.0
REZ,1.1019e-14,0.0,0.0,0.0,0.0
MIXQ,157.231567,0.0,0.0,0.0,0.0
USRUSDC,59.63020902163525,0.0,0.0,0.0,0.0
ETHG,2000000.0,0.0,0.0,0.0,0.0
SDFXS,0.7849396841805935,0.0,0.0,0.0,0.0
INV,6.531599142219553,0.0,0.0,0.0,0.0
MKUSD,15.001149056088657,0.0,0.0,0.0,0.0
RLP,10.0,0.0,0.0,0.0,0.0
XENA,2.0,0.0,0.0,0.0,0.0
PUFFER,639.3157527,0.0,0.0,0.0,0.0
UPNTS,6721.357496130095,0.0,0.0,0.0,0.0
GRG,0.025,0.0,0.0,0.0,0.0
GUYS,1.0,0.0,0.0,0.0,0.0
SKY,5146.120307754865,0.0,0.0,0.0,0.0
HQG,9.0,0.0,0.0,0.0,0.0
MACHINA,28887461.575993985,0.0,0.0,0.0,0.0
